function_name,github_link,has_spec_verus,has_proof_verus,has_spec_lean,has_proof_lean
as_affine_niels,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/edwards.rs#L532,,,,
to_montgomery,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/edwards.rs#L553,,,,
compress,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/edwards.rs#L566,,,,
double,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/edwards.rs#L616,,,,
add,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/edwards.rs#L627,,,,
add_assign,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/edwards.rs#L639,,,,
sub,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/edwards.rs#L648,,,,
sub_assign,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/edwards.rs#L660,,,,
neg,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/edwards.rs#L686,,,,
neg,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/edwards.rs#L699,,,,
mul_assign,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/edwards.rs#L709,,,,
